CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster,Segment
0114,Male,19,64,46,4,Jóvenes de gasto medio
0115,Female,18,65,48,4,Jóvenes de gasto medio
0116,Female,19,65,50,4,Jóvenes de gasto medio
0117,Female,63,65,43,1,Tradicionales de gasto medio
0118,Female,49,65,59,1,Tradicionales de gasto medio
0119,Female,51,67,43,1,Tradicionales de gasto medio
0120,Female,50,67,57,1,Tradicionales de gasto medio
0121,Male,27,67,56,4,Jóvenes de gasto medio
0122,Female,38,67,40,4,Jóvenes de gasto medio
0123,Female,40,69,58,4,Jóvenes de gasto medio
0124,Male,39,69,91,3,VIP de alto valor
0125,Female,23,70,29,4,Jóvenes de gasto medio
0126,Female,31,70,77,3,VIP de alto valor
0127,Male,43,71,35,0,"Alto ingreso, bajo gasto"
0128,Male,40,71,95,3,VIP de alto valor
0129,Male,59,71,11,0,"Alto ingreso, bajo gasto"
0130,Male,38,71,75,3,VIP de alto valor
0131,Male,47,71,9,0,"Alto ingreso, bajo gasto"
0132,Male,39,71,75,3,VIP de alto valor
0133,Female,25,72,34,4,Jóvenes de gasto medio
0134,Female,31,72,71,3,VIP de alto valor
0135,Male,20,73,5,0,"Alto ingreso, bajo gasto"
0136,Female,29,73,88,3,VIP de alto valor
0137,Female,44,73,7,0,"Alto ingreso, bajo gasto"
0138,Male,32,73,73,3,VIP de alto valor
0139,Male,19,74,10,4,Jóvenes de gasto medio
0140,Female,35,74,72,3,VIP de alto valor
0141,Female,57,75,5,0,"Alto ingreso, bajo gasto"
0142,Male,32,75,93,3,VIP de alto valor
0143,Female,28,76,40,4,Jóvenes de gasto medio
0144,Female,32,76,87,3,VIP de alto valor
0145,Male,25,77,12,0,"Alto ingreso, bajo gasto"
0146,Male,28,77,97,3,VIP de alto valor
0147,Male,48,77,36,0,"Alto ingreso, bajo gasto"
0148,Female,32,77,74,3,VIP de alto valor
0149,Female,34,78,22,0,"Alto ingreso, bajo gasto"
0150,Male,34,78,90,3,VIP de alto valor
0151,Male,43,78,17,0,"Alto ingreso, bajo gasto"
0152,Male,39,78,88,3,VIP de alto valor
0153,Female,44,78,20,0,"Alto ingreso, bajo gasto"
0154,Female,38,78,76,3,VIP de alto valor
0155,Female,47,78,16,0,"Alto ingreso, bajo gasto"
0156,Female,27,78,89,3,VIP de alto valor
0157,Male,37,78,1,0,"Alto ingreso, bajo gasto"
0158,Female,30,78,78,3,VIP de alto valor
0159,Male,34,78,1,0,"Alto ingreso, bajo gasto"
0160,Female,30,78,73,3,VIP de alto valor
0161,Female,56,79,35,1,Tradicionales de gasto medio
0162,Female,29,79,83,3,VIP de alto valor
0163,Male,19,81,5,0,"Alto ingreso, bajo gasto"
0164,Female,31,81,93,3,VIP de alto valor
0165,Male,50,85,26,0,"Alto ingreso, bajo gasto"
0166,Female,36,85,75,3,VIP de alto valor
0167,Male,42,86,20,0,"Alto ingreso, bajo gasto"
0168,Female,33,86,95,3,VIP de alto valor
0169,Female,36,87,27,0,"Alto ingreso, bajo gasto"
0170,Male,32,87,63,3,VIP de alto valor
0171,Male,40,87,13,0,"Alto ingreso, bajo gasto"
0172,Male,28,87,75,3,VIP de alto valor
0173,Male,36,87,10,0,"Alto ingreso, bajo gasto"
0174,Male,36,87,92,3,VIP de alto valor
0175,Female,52,88,13,0,"Alto ingreso, bajo gasto"
0176,Female,30,88,86,3,VIP de alto valor
0177,Male,58,88,15,0,"Alto ingreso, bajo gasto"
0178,Male,27,88,69,3,VIP de alto valor
0179,Male,59,93,14,0,"Alto ingreso, bajo gasto"
0180,Male,35,93,90,3,VIP de alto valor
0181,Female,37,97,32,0,"Alto ingreso, bajo gasto"
0182,Female,32,97,86,3,VIP de alto valor
0183,Male,46,98,15,0,"Alto ingreso, bajo gasto"
0184,Female,29,98,88,3,VIP de alto valor
0185,Female,41,99,39,0,"Alto ingreso, bajo gasto"
0186,Male,30,99,97,3,VIP de alto valor
0187,Female,54,101,24,0,"Alto ingreso, bajo gasto"
0188,Male,28,101,68,3,VIP de alto valor
0189,Female,41,103,17,0,"Alto ingreso, bajo gasto"
0190,Female,36,103,85,3,VIP de alto valor
0191,Female,34,103,23,0,"Alto ingreso, bajo gasto"
0192,Female,32,103,69,3,VIP de alto valor
0193,Male,33,113,8,0,"Alto ingreso, bajo gasto"
0194,Female,38,113,91,3,VIP de alto valor
0195,Female,47,120,16,0,"Alto ingreso, bajo gasto"
0196,Female,35,120,79,3,VIP de alto valor
0197,Female,45,126,28,0,"Alto ingreso, bajo gasto"
0198,Male,32,126,74,3,VIP de alto valor
0199,Male,32,137,18,0,"Alto ingreso, bajo gasto"
0200,Male,30,137,83,3,VIP de alto valor
